times,speed,dir
2022-08-11 7:10,0.798,198.19
2022-08-11 7:20,0.626,210.87
2022-08-11 7:30,0.485,190.94
2022-08-11 7:40,0.513,192.84
2022-08-11 7:50,0.449,181.28
2022-08-11 8:00,0.597,194.64
2022-08-11 8:10,0.353,204.61
2022-08-11 8:20,0.514,184.13
2022-08-11 8:30,0.556,169.54
2022-08-11 8:40,0.493,182.09
2022-08-11 8:50,0.455,181.76
2022-08-11 9:00,0.415,166.63
2022-08-11 9:10,0.425,190.57
2022-08-11 9:20,0.289,168.85
2022-08-11 9:30,0.432,186.78
2022-08-11 9:40,0.334,169.13
2022-08-11 9:50,0.38,160.66
2022-08-11 10:00,0.184,170.28
2022-08-11 10:10,0.17,32.01
2022-08-11 10:20,0.149,102.82
2022-08-11 10:30,0.028,40.6
2022-08-11 10:40,0.08,90
2022-08-11 10:50,0.098,62.13
2022-08-11 11:00,0.179,56.13
2022-08-11 11:10,0.388,39.88
2022-08-11 11:20,0.296,23.88
2022-08-11 11:30,0.486,20.71
2022-08-11 11:40,0.388,38.2
2022-08-11 11:50,0.367,40.03
2022-08-11 12:00,0.409,44.6
2022-08-11 12:10,0.437,29.03
2022-08-11 12:20,0.561,23.96
2022-08-11 12:30,0.523,44.38
2022-08-11 12:40,0.547,16.68
2022-08-11 12:50,0.601,16.44
2022-08-11 13:00,0.526,23.54
2022-08-11 13:10,0.643,30.15
2022-08-11 13:20,0.504,7.63
2022-08-11 13:30,0.851,14.36
2022-08-11 13:40,0.785,20.12
2022-08-11 13:50,0.772,18.04
2022-08-11 14:00,0.84,22.69
2022-08-11 14:10,0.826,26.13
2022-08-11 14:20,0.867,19.27
2022-08-11 14:30,0.579,358.12
2022-08-11 14:40,0.465,5.43
2022-08-11 14:50,0.555,6
2022-08-11 15:00,0.439,358.43
2022-08-11 15:10,0.49,7.87
2022-08-11 15:20,0.48,0.95
2022-08-11 15:30,0.533,20.54
2022-08-11 15:40,0.557,19.61
2022-08-11 15:50,0.51,20.42
2022-08-11 16:00,0.406,25.37
2022-08-11 16:10,0.513,8.29
2022-08-11 16:20,0.417,10.5
2022-08-11 16:30,0.304,4.15
2022-08-11 16:40,0.317,45.77
2022-08-11 16:50,0.109,248.39
2022-08-11 17:00,0.163,323.48
2022-08-11 17:10,0.211,256.82
2022-08-11 17:20,0.373,242.2
2022-08-11 17:30,0.535,228.11
2022-08-11 17:40,0.393,229.34
2022-08-11 17:50,0.473,217.62
2022-08-11 18:00,0.459,214.52
2022-08-11 18:10,0.36,239.8
2022-08-11 18:20,0.474,186.42
2022-08-11 18:30,0.462,205.95
2022-08-11 18:40,0.424,197.58
2022-08-11 18:50,0.523,203.77
2022-08-11 19:00,0.527,203.94
2022-08-11 19:10,0.38,182.86
2022-08-11 19:20,0.503,196.16
2022-08-11 19:30,0.487,195.83
2022-08-11 19:40,0.564,178.88
2022-08-11 19:50,0.45,179.36
2022-08-11 20:00,0.617,179.81
2022-08-11 20:10,0.389,200.76
2022-08-11 20:20,0.505,179.21
2022-08-11 20:30,0.478,173.75
2022-08-11 20:40,0.222,198.35
2022-08-11 20:50,0.138,144.13
2022-08-11 21:00,0.217,169.36
2022-08-11 21:10,0.112,13.91
2022-08-11 21:20,0.15,103.11
2022-08-11 21:30,0.065,93.52
2022-08-11 21:40,0.02,306.87
2022-08-11 21:50,0.091,304.22
2022-08-11 22:00,0.129,17.17
2022-08-11 22:10,0.131,222.83
2022-08-11 22:20,0.167,101.38
2022-08-11 22:30,0.228,107.08
2022-08-11 22:40,0.13,53.75
2022-08-11 22:50,0.315,20.22
2022-08-11 23:00,0.306,33.27
2022-08-11 23:10,0.475,43.81
2022-08-11 23:20,0.532,46.22
2022-08-11 23:30,0.588,43.83
2022-08-11 23:40,0.557,48.2
2022-08-11 23:50,0.676,50.52
2022-08-12 0:00,0.648,31.24
2022-08-12 0:10,0.539,25.47
2022-08-12 0:20,0.757,18.32
2022-08-12 0:30,0.754,23.78
2022-08-12 0:40,0.644,20.63
2022-08-12 0:50,0.727,13.52
2022-08-12 1:00,0.76,16.36
2022-08-12 1:10,0.933,20.65
2022-08-12 1:20,1.216,31.27
2022-08-12 1:30,1.016,19.97
2022-08-12 1:40,1.011,24.11
2022-08-12 1:50,1.02,25.18
2022-08-12 2:00,1.171,20.87
2022-08-12 2:10,1.003,27.61
2022-08-12 2:20,0.999,13.37
2022-08-12 2:30,1.189,24.6
2022-08-12 2:40,1.025,11.7
2022-08-12 2:50,0.821,15.39
2022-08-12 3:00,0.613,0.56
2022-08-12 3:10,0.605,6.46
2022-08-12 3:20,0.41,9.12
2022-08-12 3:30,0.537,345.55
2022-08-12 3:40,0.534,343.7
2022-08-12 3:50,0.654,352.97
2022-08-12 4:00,0.671,13.27
2022-08-12 4:10,0.656,12.96
2022-08-12 4:20,0.615,30.15
2022-08-12 4:30,0.668,23
2022-08-12 4:40,0.849,30.67
2022-08-12 4:50,0.759,13.87
2022-08-12 5:00,0.664,346.76
2022-08-12 5:10,0.438,282.93
2022-08-12 5:20,0.437,275.38
2022-08-12 5:30,0.338,262.85
2022-08-12 5:40,0.467,242.61
2022-08-12 5:50,0.568,243.43
2022-08-12 6:00,0.526,237.82
2022-08-12 6:10,0.657,257.34
2022-08-12 6:20,0.496,242.35
2022-08-12 6:30,0.503,238.59
2022-08-12 6:40,0.529,230.98
2022-08-12 6:50,0.334,215.5
2022-08-12 7:00,0.318,200.6
2022-08-12 7:10,0.557,201.13
2022-08-12 7:20,0.627,217.09
2022-08-12 7:30,0.774,215.37
2022-08-12 7:40,0.559,197.92
2022-08-12 7:50,0.585,198.13
2022-08-12 8:00,0.573,198.09
2022-08-12 8:10,0.604,201.34
2022-08-12 8:20,0.571,197.52
2022-08-12 8:30,0.463,185.94
2022-08-12 8:40,0.417,191.34
2022-08-12 8:50,0.62,190.88
2022-08-12 9:00,0.613,184.03
2022-08-12 9:10,0.532,181.94
2022-08-12 9:20,0.466,189.64
2022-08-12 9:30,0.494,177.91
2022-08-12 9:40,0.598,186.24
2022-08-12 9:50,0.518,171.01
2022-08-12 10:00,0.479,194.88
2022-08-12 10:10,0.324,173.09
2022-08-12 10:20,0.089,154.87
2022-08-12 10:30,0.166,206.1
2022-08-12 10:40,0.042,216.33
2022-08-12 10:50,0.07,149.04
2022-08-12 11:00,0.124,66.32
2022-08-12 11:10,0.212,81.87
2022-08-12 11:20,0.035,292.11
2022-08-12 11:30,0.064,126.69
2022-08-12 11:40,0.119,36.1
2022-08-12 11:50,0.086,82.63
2022-08-12 12:00,0.252,36.46
2022-08-12 12:10,0.308,36.68
2022-08-12 12:20,0.228,47.49
2022-08-12 12:30,0.585,46.59
2022-08-12 12:40,0.476,42.27
2022-08-12 12:50,0.636,34.04
2022-08-12 13:00,0.501,43.79
2022-08-12 13:10,0.555,40.69
2022-08-12 13:20,0.65,11.62
2022-08-12 13:30,0.468,8.48
2022-08-12 13:40,0.391,27.87
2022-08-12 13:50,0.6,12.02
2022-08-12 14:00,0.59,8.87
2022-08-12 14:10,0.583,15.63
2022-08-12 14:20,0.97,9.26
2022-08-12 14:30,0.959,25.63
2022-08-12 14:40,1.057,23.48
2022-08-12 14:50,0.77,14.13
2022-08-12 15:00,0.858,14.04
2022-08-12 15:10,0.729,16.5
2022-08-12 15:20,0.805,13.79
2022-08-12 15:30,0.703,30.91
2022-08-12 15:40,0.777,24.98
2022-08-12 15:50,0.729,1.49
2022-08-12 16:00,0.683,8.68
2022-08-12 16:10,0.685,0
2022-08-12 16:20,0.564,357.77
